"","caseid","norm_violation_justification"
"1",2041390765,"Sometimes members of congress don’t do what they know they need to do, just because they don’t want a president from the other party to be successful. This is a problem with congress members who’ve been in congress for too long. Unfortunately, the people in this country are uneducated about how businesses operate or how economies work. Sometimes, action simply needs to be taken."
"2",2040611197,"Why do I think Democrats can't get cooperation from the GOP? Because I read the news and KNOW McConnell said when Obama was elected his MAIN prioroty was to oppose anything and everything the Democrats proposed. Now it's worse and the GOP is justifying attacks on the Govt, Paul Pelosi, 1/6 and callking neo-Nazo's vey fine people. They've lots the POPULAR vote repoeatedly. Fox News should be banned."
"3",2041855485,"Because our representatives currently don't represent the populace. The GOP has rigged elections in their favor with extreme gerimandering and voter suppression laws so that they can ""win"" with fewer votes. Then they represent their big campaign donors who are at odds with the majority of Americans! The Cons in Congress vote against legislation that the majority of Americans want and constantly obstruct the will of the people!"
"4",2051427589,"Look how many inept judges that Mitch McConnel has appointed the last few years is why I said this"
"5",2041854291,"The GOP is currently dragging America down the road of fascism. Voting and standing by will no longer stop the treachery and violence of the GOP. We must meet their tactics head-on. If this is the only way to restore democracy - which it is - so be it."
"6",2040484635,"Because I believe (pretty strongly) that the media is very biased against Republicans than they are against the Democrats who control them. And, this is because the media does not like Conservative thinking."
"7",2040652881,"Because it is legal and constitutional for the president to issue executive orders, and thus it does not go against the rules that make the representative democracy work to try to use them. It would then be up to the courts to determine if the executive orders were within what the president is legally allowed to do, and the courts' decision should then be followed."
"8",2040699157,"because the ""new laws"" may be so important (i.e. measures to counteract a medical pandemic); or because the new laws may be grossly unpopular with voters who put in just barely enough congressmen to keep congress from acting (i.e. number of votes in Senate would be less than would be required to overcome a fillibuster); or the new laws would help an unpopular minority overcome terrible pain or hardship."
"9",2043491975,"If it’s the people’s will….yes"
"10",2043316149,"democrats have turned to pushing communism and should be resisted in every possible"
"11",2041991035,"it's not fair to the Republican party"
"12",2050050103,"Because Democrats lie and cheat. They think its their divine right to get whst they want. I woukd never vote fo3 a Democrat"
"13",2048280239,"Sometimes you have to do things to move important legislation forward"
"14",2049291673,"It seems that democrats get what they want easier than republicans and I think alot of it is dishonest"
"15",2042181321,"Our system of checks and balances has been deeply eroded by the Republican party doing things like denying a Democratic president (Obama) to appoint a supreme court justice. The result has been a number of supreme court decisions that are partisan and do not reflect the will of the people."
"16",2043569365,"Every Party should have the same rules and follow them"
"17",2043591805,"Democrats and Republican are always fighting with each other and do not work together for the good of the country so if the Republican president has a good need for the country he should be able to do what ever he can to get the need passed. The Democrats will do the same. Democrats and Republicans will never agree with each other no matter how good the need might help the country."
"18",2043489109,"I can't"
"19",2047730955,"demarcates cheat and fix election."
"20",2048945003,"I only agree because the president only holds so much power and in all honestly can only accomplish a certain degree of success that can be reversed later where as when congress passes Bills into laws they are laws and much harder to reverse so if the GOP refuses to pass bills benefiting the American people and the president can make some difference since he was elected to the office them he should exercise that power to benefit Americans"
"21",2049448969,"Because some of these things are needed in a hurry."
"22",2041640325,"I answered that question too quickly. I do not believe the Democratic president should circumvent Congress and issue executive orders on their own."
"23",2040523935,"Because the Republican members of congress care more about obstruction than compromise and are unwilling to work with the Democrats"
"24",2042399529,"The Republican party as it is now is less concerned with fairness and democratic values than with power at any cost."
"25",2043431091,"I believe the democratic president should issue executive orders that fall within their authority without overstepping the authority of congress."
"26",2037589131,"Republicans are turning into fascist"
"27",2041372277,"The democrats have bypassed congress over and over again with executive orders for instance student loan forgiveness, closing the pipelines and so on. If they don’t want a republican president to do it then they shouldn’t do it either! So tired of the democrats bullying Christian’s and conservatives and calling us racist!"
"28",2041294711,"Executive orders can be overturned by Congress as well as by the Supreme Court. I do not consider them to be in violation of the ideals of representative democracy."
"29",2051425009,"That's what the Republicans do. The dems need to get up to speed on this one. Rs have rewritten the constitution to make this sop."
"30",2042502871,"because usually the dem members of congress are passing laws that aren't good for all the people"
"31",2043519813,"Any POTUS that is facing a party that is one hundred percent against said POSTUS should use executive orders because those orders are easy to challenge in courts and someone must take action against cultish behavior within our government. No single branch of our government should be in lockstep with a single ideology."
"32",2040661799,"Because Republicans don’t always represent the people. They oftentimes favor the interests of the wealthy. Executive Orders can be and often are reversed by subsequent administrations. Some issues can’t wait for Congress to decide, I.e. DACA."
"33",2042285613,"Republicans lately have refused to work across the aisle leaving executive order the only alternative"
"34",2042391943,"I just fell you should support the party you belive in"
"35",2048730137,"I have no comment"
"36",2042739627,"It depends on what the laws are about and whether the majority of the people support the law that was trying to be passed"
"37",2043546873,"Because an appointee by a Democratic president would not be in favor of a representative democracy."
"38",2041375267,"I said that because that is exactly the way things are right now. Democrats blatantly and openly attack Republicans over everything they say and do. The media is so biased and government just goes along with anything Democrats and the media puts out there. You know that's true."
"39",2050555441,"Sometimes the issue is very important for the people if it's within the law it should happen"
"40",2043504741,"Because the media nowadays seems to hide certain issues for example Hunter Biden that could have influenced the 2020 elections, immediately find and report faults of republican Canidates. Honest and fair reporting does not see to exist anymore."
"41",2041591569,"Given that those judges (thinking of the Supreme Court) were appointed under false pretenses, it's hard to condone supporting any of their rulings."
"42",2043292903,"I realized I should not have said. Free speech is important to our democracy."
"43",2041557119,"If the stated purpose of the Republican Party as articulated by the Republican leaders in the House and Senate is to make a Democratic president a one-term pres. and to not allow, bring to a vote legislation for the benefit well-being of the people, then as his prerogative, he will have to use executive orders as given to him, to do the will of the people."
"44",2041710645,"This practice is common to all administrations, regardless of party. The only solution is to change the guidelines of the Presidents power. My answer was based on laws that are necessary but not passed by congress due to unhealthy partisanship. A President may have no recourse but Executive Power to exercise legislation that is best for the country and not a specific segment of the population or party. Finally, though the questions references a Republican President, I would answer the same if it was a Democratic President. As a side note, I was hoping the new administration would bring the parties closer, unfortunately, it is as divisive as the previous administration."
"45",2043951911,"000000"
"46",2040893087,"I DON'T KNOW WHY RATHER NOT SAY"
"47",2041856671,"Executive Orders are only possible in a limited number of situations, so Presidents can't do just as they like. Republicans are currently far more obstructive, so to get anything done, occasionally, an Executive Order is necessary."
"48",2043347097,"I have watched elected Democrat Presidents from Bill Clinton to Joe Biden completely ignore court decisions that went against their policies. I am sick and tired of Republicans playing a fair game while the Democrats run roughshod over the Constitution. It is time for the Republicans to take the gloves off and get as dirty as the Democrats have done for the last 50 years or more."
"49",2043520999,"It is all 1 party"
"50",2040565607,"all elections shoiuld be fair"
"51",2041471119,"First of all it applies to both parties. Our representatives need to compromise to pass needed legislation."
"52",2049985027,"some of the judges are not always judging according to the Constitution"
"53",2041985063,"They need work together to help"
"54",2043071409,"democrats are pure evil and all need to be gone. the democrats judges do not follow the laws. that our fore father set for us. they are pure evil commies that want us to have no rights at all."
"55",2043416237,"taxs"
"56",2043870161,"they have proven that they will use them to cheat"
"57",2041793809,"Executive orders are limited in scope, and while they can further one’s agenda, it is less impactful than passing legislation."
"58",2043242501,"they should always be loyal to the prty but never lie"
"59",2043859741,"No response"
"60",2041400431,"Because some of the Republican appointed judges are corrupt!"
"61",2041427257,"The playing field needs to be level for both parties. Censoring is always wrong."
"62",2048213873,"The true i not sure"
"63",2040729191,"I am tired of 24 seven media coverage that misrepresents either party. Who do you think the media misrepresents most...."
"64",2041825505,"Because those media outlets aren't going to be more fair on their own. They will need more help making better decisions not being biased. I don't watch because I get tired of their practices."
"65",2042051007,"I feel that they should circumvent the Congress because the president is an elected official and people voted for the president for a reason so they have the power to use an executive order.This is not circumvent democracy because the buck stops with the president so it should be the final decision if he wants to have an executive order. People can vote him out if they don’t like how he runs the country."
"66",2042769059,"The president is also elected and has the power to do that. They should do that because it is part of their job"
"67",2043636207,"Because it is obvious that derain media stations are bought and paid for by the democraps and the only ones I have found to be truthful are little known media stations or FOX news"
"68",2042391151,"Democratic Presidents are usually fought on most issues they support by Republicans because for my point of view, Democrats are usually on the side of Democracy, whereas Republicans are usually just on the side of the wealthy and rich people. Rich people always do better under Republican Administrations whereas Poor people always do better under Democratic Administrations. The Republican Party has been taken over by Former President Donald Trump."
"69",2048218559,"Na"
"70",2040892919,"It is a tradition and a good remedy for Presidents to issue Executive Orders if they believe that the measure or law under question is important enough for them to circumvent Congress, but especially recently and these days, when Republicans do their utmost not to pass laws sponsored by Democrats or those approved by a Democratic President. As a matter of fact, one might say that under these circumstances, issuing Executive Orders is an extension of democracy, not its negation."
"71",2042500099,"I believe I also said that Republican presidents should do the same thing. Congress currently is stymied by a divided Senate. Almost no legislation is happening, but there are issues that must be addressed. If Congress refuses to act, the President should in such instances."
"72",2049391785,"Because there's an extremely high likelihood that there was something illegal done. Republicans don't question things unless they're true."
"73",2040527103,"As we saw during the Obama Administration, opposition by the Republicans resulted in gridlock and the inability of Pres. Obama to be able to accomplish any part of his agenda. If it is in the best interest of the Country that certain pieces of policy become law, then the President should use whatever means necessary to bring about policy that will benefit the Country."
"74",2040569359,"Go back and review what Mitch said when Obama was elected. They are refusing to debate issues and blocking bill that some republican members would support but are afraid to speak out. A president has the right to represent the interest of those who elected him or her as long as it is within the law"
"75",2041137129,"Beacause I do not trust republicans at all."
"76",2041855461,"Executive orders are necessary if the other party is not negotiating with the Democrats on good faith."
"77",2040892977,"No clue"
"78",2042360655,"opposing viewpoints should be represented equally. when the media decides to outright lie about issues about one side and blatantly tell you that one side is bad and call it news, they should be censored. news is news, not someone's opinion. report the facts and let the viewers decide."
"79",2043657871,"it's because the republican don't want to talk about anything they just wants to block everything"
"80",2040725103,"At this point in our history today, the bulk of republicans are validating violence more than the democrats. Violent rhetoric should be censored on both sides but the Trump republicans are okay with violence with outright lies that can be proven are false"
"81",2043544941,"If we were living in the time of our parents Democrats I would of said no to the question. However todays Democrats think things like gender assignment and going behind parents back is OK. Todays Democrats think that parents should be jailed if they want to know what is going on with THEIR children in schools. Todays Democrats think that yelling"" create a crowd and push back""( Maxine Waters )when you see a Republican at a restaurant or a gas station. Todays Democrats call burning down city's "" peaceful protests"""
"82",2041647961,"Democrats have been attacked alot lately. Nancy Pelosi's husband was attacked."
"83",2039976949,"Because today the opposing parties don't make decisions to do what is best for America, they do what is best for their party. The people elect a president because they want his agenda. Being blocked because you are of a different party is not how the system was meant to work. If his ideas are truly bad he wouldn't have won."
